Pdfs,Title,Subject,Solved,Total
teplo.pdf,Теплообмен,Термодинамика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",94
newrilaw.pdf,Теплопроводность,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],35
cycwork.pdf,Работа в цикле,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
perzater.pdf,Первый закон термодинамики,Термодинамика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",74
cgaza.pdf,Теплоёмкость газа,Термодинамика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]",38
teploma.pdf,Тепловые двигатели,Термодинамика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]",84
holonasos.pdf,Холодильник и тепловой насос,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0],11
dvigaza.pdf,Движение газа,Термодинамика,[0 0],2
npar.pdf,Насыщенный пар,Термодинамика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",40
vvpp.pdf,Влажный воздух,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],32
uravadia.pdf,Уравнение адиабаты,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
politrop.pdf,Политропический процесс,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0],12
baroformula.pdf,Модели атмосферы,Термодинамика,[0 0 0 0 0 0 0],7
neidegas.pdf,Неидеальный газ,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
povernat.pdf,Поверхностное натяжение,Термодинамика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
integral-therm.pdf,Интеграл. Термодинамика,Термодинамика,[0 0 0 0 0],5
luchi.pdf,Световые лучи,Оптика,[0 0 0 0 0 0 0 0 0 0 0],11
plozer.pdf,Плоское зеркало,Оптика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],30
sferizer.pdf,Сферическое зеркало,Оптика,[0 0 0 0 0 0],6
prelozak.pdf,Закон преломления,Оптика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],30
polnotrazh.pdf,Полное отражение,Оптика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],17
prelomal.pdf,Преломление. Малые углы,Оптика,[0 0 0 0 0 0 0 0 0 0 0],11
tolstolin.pdf,Толстые линзы,Оптика,[0 0 0 0 0 0 0],7
prinfer.pdf,Принцип Ферма,Оптика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],16
linfocus.pdf,Фокусное расстояние линзы,Оптика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],14
linrays.pdf,Ход лучей в линзах,Оптика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],19
formulin.pdf,Формула линзы,Оптика,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",66
genformulin.pdf,Обобщённая формула линзы,Оптика,[0 0],2
produv.pdf,Продольное увеличение,Оптика,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],15
